division,mandal,mandalCode,schCode,schoolName,management
KGM,JEELUGUMILLI,281501,28150100101,"MPUPS, RACHANNAGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150100201,"GPS(TW), JAGANNADHAPURAM",TW
KGM,JEELUGUMILLI,281501,28150100301,"MPPS, PUCHIKAPADU",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150100401,"GPS(TW), RAMACHANDRAPURAM",TW
KGM,JEELUGUMILLI,281501,28150100402,"GPS(TW), REDDYGUDEM",TW
KGM,JEELUGUMILLI,281501,28150100404,"GPS(TW), Dibbagudem",TW
KGM,JEELUGUMILLI,281501,28150100403,"GPS(TW), ANKANNAGUDEM",TW
KGM,JEELUGUMILLI,281501,28150100405,"GTW Ashram School(G), Ankannagudem",TW
KGM,JEELUGUMILLI,281501,28150100406,"GOVT JR. COLLEGE,  JEELUGUMILLI",GOVT
KGM,JEELUGUMILLI,281501,28150100601,"MPPS, T RAMANNAGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150100902,"GTW Ashram School(B), Jillellagudem",TW
KGM,JEELUGUMILLI,281501,28150100901,"GPS(TW), JILLELLAGUDEM",TW
KGM,JEELUGUMILLI,281501,28150100801,"GPS(TW), LANKALAPALLI",TW
KGM,JEELUGUMILLI,281501,28150101101,"MPPS, KAMAYYAPALEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101001,"GPS(TW), BOTHAPPAGUDEM",TW
KGM,JEELUGUMILLI,281501,28150101102,"ZPHS, KAMAYYAPALEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101201,"MPPS, P ANKAMPALEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101401,"MPPS, TATIYAKULAGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101604,"MPPS, CRR COLONY",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101602,"MPPS, SIRRIVARIGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101605,"GTW Ashram School(B), Jeelugumilli",TW
KGM,JEELUGUMILLI,281501,28150101607,"APTWREIS JR. COLLEGE, BARRINKALAPADU",APTW
KGM,JEELUGUMILLI,281501,28150101606,"ZPHS, JEELUGUMILLI",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101608,"MPPS (NO.2), KAMAYYAPALEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101609,"MPPS, JEELUGUMILLI",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101402,"AIDED PS, TATIYAKULAGUDEM",AIDED
KGM,JEELUGUMILLI,281501,28150101603,"MPPS, JEELUGUMILLI COLONY",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101614,GTW ASRAM GIRLS HIGH SCHOOL,TW
KGM,JEELUGUMILLI,281501,28150101701,"MPPS, MULAGALAMPALLI",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101702,"MPPS (NO.2), MULAGALAMPALLI",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101703,"ZPHS, MULAGALAMPALLI",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150101804,"APTWRS(B), Barrinkalapadu",APTW
KGM,JEELUGUMILLI,281501,28150101802,"GPS(TW), BARRINKALAPADU",TW
KGM,JEELUGUMILLI,281501,28150101803,"GPS(TW), P.CHEEMALAVARIGUDEM",TW
KGM,JEELUGUMILLI,281501,28150101901,"MPUPS, P NARAYANAPURAM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102001,"MPPS, ROWTHUGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102002,"MPPS, KANAKAPURAM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102003,"GPS(TW), PAKALAGUDEM",TW
KGM,JEELUGUMILLI,281501,28150102101,"MPPS, VANKAVARIGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102102,"GPS(TW), RAMANAKKAPETA",TW
KGM,JEELUGUMILLI,281501,28150102107,GTW PS VANKAVARI GUDEM,TW
KGM,JEELUGUMILLI,281501,28150102201,"MPPS, T GANGANNAGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102202,"MPPS, RAVINDRANAGAR",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102203,"GPS(TW), DIBBAGUDEM",TW
KGM,JEELUGUMILLI,281501,28150102302,"GTW Ashram School(B), Madakamvarigudem",TW
KGM,JEELUGUMILLI,281501,28150102501,"MPPS, DATLAVARIGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102601,"MPPS, RAMANNAPALEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102701,"MPUPS, P RAJAVARAM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102801,"RCM PS, DARBHAGUDEM",AIDED
KGM,JEELUGUMILLI,281501,28150102803,"GPS(TW), P.CHEEMALAVARIGUDEM",TW
KGM,JEELUGUMILLI,281501,28150102804,"GPS(TW), TABBISAVARIGUDEM",TW
KGM,JEELUGUMILLI,281501,28150102805,"GPS(TW), K.PANDUVARIGUDEM",TW
KGM,JEELUGUMILLI,281501,28150102806,"MPUPS, LAXMIPURAM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102807,"RCM HS, DARBHAGUDEM",AIDED
KGM,JEELUGUMILLI,281501,28150102901,"MPPS, SWARNAVARIGUDEM",MPP-ZPP
KGM,JEELUGUMILLI,281501,28150102902,"RCM PS, SWARNAVARIGUDEM",AIDED
KGM,JEELUGUMILLI,281501,28150102903,"GPS(TW), Pamulavarigudem",TW
KGM,BUTTAIGUDEM,281502,28150200102,"MPPS, YEPULAPADU",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200103,"GTW Ashram School(B),Kamavaram",TW
KGM,BUTTAIGUDEM,281502,28150200201,"MPPS, PATHA ALIVERU",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200203,"GPS(TW), GOTTALAREVU",TW
KGM,BUTTAIGUDEM,281502,28150200205,"GPS (TW), CHINTAKONDA",TW
KGM,BUTTAIGUDEM,281502,28150200204,"GPS(TW),YERRAIGUDEM",TW
KGM,BUTTAIGUDEM,281502,28150200206,"TWA PS, LANKAPAKALU",TW
KGM,BUTTAIGUDEM,281502,28150200212,"GPS(TW), REGULAPADU",TW
KGM,BUTTAIGUDEM,281502,28150200213,"GPS(TW), REPALLI",TW
KGM,BUTTAIGUDEM,281502,28150200214,"GPS(TW), REDDY BODDERU",TW
KGM,BUTTAIGUDEM,281502,28150200301,"MPPS, PANDIRIMAMIDIGUDEM",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200302,"MPPS, GADIDABORU",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200303,"MPPS, KAKULAVARIGUDEM",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200305,"GPS(TW), ANTARVEDIGUDEM",TW
KGM,BUTTAIGUDEM,281502,28150200306,"GPS (TW), NAGULAGUDEM",TW
KGM,BUTTAIGUDEM,281502,28150200307,"GPS(TW), INUMURU",TW
KGM,BUTTAIGUDEM,281502,28150200308,"GTW Ashram School(B), Anthervedigudem",TW
KGM,BUTTAIGUDEM,281502,28150200401,"MPPS, CHINAJEEDIPUDI",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200403,"MPPS, GULLAPUDI",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200404,"GPS(TW), GOWRAMPETA",TW
KGM,BUTTAIGUDEM,281502,28150200405,"GPS(TW), VERUMADDIGUDEM",TW
KGM,BUTTAIGUDEM,281502,28150200406,"GPS(TW), DORAMAMIDI",TW
KGM,BUTTAIGUDEM,281502,28150200407,"GTW Ashram School(B), Gubbisamamidi",TW
KGM,BUTTAIGUDEM,281502,28150200408,"GPS (TW), GURRAPPAGUDEM",TW
KGM,BUTTAIGUDEM,281502,28150200409,"GPS (TW), JODE BODI GUDEM",TW
KGM,BUTTAIGUDEM,281502,28150200410,"GPS (TW), RANGAPURAM",TW
KGM,BUTTAIGUDEM,281502,28150200411,"GPS (TW), DUDDUKURU",TW
KGM,BUTTAIGUDEM,281502,28150200412,"GPS (TW), PEDAJEEDIPUDI",TW
KGM,BUTTAIGUDEM,281502,28150200413,"MPUPS, DORAMAMIDI",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200415,"TWA  HS, DORAMAMIDI",TW
KGM,BUTTAIGUDEM,281502,28150200417,"TWA G HS, TELLAMVARIGUDEM",TW
KGM,BUTTAIGUDEM,281502,28150200414,"TWA PS, TELLAMVARIGUDEM",TW
KGM,BUTTAIGUDEM,281502,28150200420,"MPPS, GURUGUMILLI",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200501,"MPPS, MUNJULURU",MPP-ZPP
KGM,BUTTAIGUDEM,281502,28150200801,"GPS(TW), URRINKA",TW
KGM,BUTTAIGUDEM,281502,28150200902,"GPS(TW), GOGUMILLI",TW
KGM,BUTTAIGUDEM,281502,28150201201,"MPPS, UPPARILLA",MPP-ZPP
